iata,icao,airport_name,city,country,lat,lon,tz
FOS,YFRT,Forrest Airport,Forrest,Australia,-30.83810043334961,128.11500549316406,Australia/Perth
KEW,CPV8,Keewaywin Airport,Keewaywin,Canada,52.991100311299995,-92.8364028931,America/Winnipeg
YSP,CYSP,Marathon Airport,Marathon,Canada,48.75529861450195,-86.34439849853516,America/Toronto
YHF,CYHF,Hearst René Fontaine Municipal Airport,Hearst,Canada,49.71419906616211,-83.68609619140625,America/Toronto
YHN,CYHN,Hornepayne Municipal Airport,Hornepayne,Canada,49.19309997558594,-84.75890350341797,America/Toronto
YKX,CYKX,Kirkland Lake Airport,Kirkland Lake,Canada,48.21030044555664,-79.98139953613281,America/Toronto
YMG,CYMG,Manitouwadge Airport,Manitouwadge,Canada,49.083900451660156,-85.86060333251953,America/Toronto
YXZ,CYXZ,Wawa Airport,Wawa,Canada,47.96670150756836,-84.78669738769531,America/Toronto
YEM,CYEM,Manitoulin East Municipal Airport,Manitowaning,Canada,45.84280014038086,-81.85810089111328,America/Toronto
LWC,KLWC,Lawrence Municipal Airport,Lawrence,United States,39.01119995,-95.21659851,America/Chicago
PPM,KPMP,Pompano Beach Airpark,Pompano Beach,United States,26.247100830078,-80.111099243164,America/New_York
XMC,YMCO,Mallacoota Airport,Mallacoota,Australia,-37.59830093383789,149.72000122070312,Australia/Hobart
ULH,OEAO,Majeed Bin Abdulaziz Airport,Al-Ula,Saudi Arabia,26.48,38.1288888889,Asia/Riyadh
YUE,YYND,Yuendumu Airport,Yuendumu ,Australia,-22.254199981689453,131.78199768066406,Australia/Darwin
LOP,WADL,Lombok International Airport,Praya,Indonesia,-8.757322,116.276675,Asia/Makassar
ZMH,CZML,South Cariboo Region / 108 Mile Airport,108 Mile Ranch,Canada,51.736099243199995,-121.333000183,America/Vancouver
HDG,ZBHD,Handan Airport,Handan,China,36.5258333333,114.425555556,Asia/Shanghai
LOZ,KLOZ,London-Corbin Airport/Magee Field,London,United States,37.0821990967,-84.08489990230001,America/New_York
FBG,KFBG,Simmons Army Air Field,Fredericksburg,United States,35.13180161,-78.93669891,America/New_York
WMI,EPMO,Modlin Airport,Warsaw,Poland,52.451099,20.6518,Europe/Warsaw
JXA,ZYJX,Jixi Xingkaihu Airport,Jixi,China,45.293,131.193,Asia/Shanghai
JDG,RKPD,Jeongseok Airport,Seogwipo,South Korea,33.3996009827,126.711997986,Asia/Seoul
YGM,CYGM,Gimli Industrial Park Airport,Gimli,Canada,50.62810134887695,-97.04329681396484,America/Winnipeg
EYK,USHY,Beloyarskiy Airport,Beloyarsky,Russia,63.686901,66.698601,Asia/Yekaterinburg
RAC,KRAC,John H Batten Airport,Racine,United States,42.7606010437,-87.8152008057,America/Chicago
RZP,RPSD,Cesar Lim Rodriguez Airport,Taytay,Philippines,10.81874,119.507697,Asia/Manila
RKZ,ZURK,Shigatse Air Base,Shigatse,China,29.3519,89.311401,Asia/Shanghai
TIW,KTIW,Tacoma Narrows Airport,Tacoma,United States,47.26789856,-122.5780029,America/Los_Angeles
GUF,KJKA,Jack Edwards Airport,Gulf Shores,United States,30.29050064,-87.67179871,America/Chicago
IBB,SEII,General Villamil Airport,Isabela,Ecuador,-0.942628026009,-90.9530029297,Pacific/Galapagos
HMJ,UKLH,Khmelnytskyi Airport,Khmeinitskiy,Ukraine,49.359699,26.933399,Europe/Kiev
HIW,RJBH,Hiroshimanishi Airport,Hiroshima,Japan,34.36690139770508,132.41400146484375,Asia/Tokyo
